t,x,y,z,wp_i,dist
0.0000,0.00000,0.00000,0.30000,0,1.00000
0.0200,0.01198,0.00000,0.29608,0,0.98802
0.0400,0.02397,0.00000,0.29221,0,0.97606
0.0600,0.03595,0.00000,0.28838,0,0.96412
0.0800,0.04794,0.00000,0.28461,0,0.95219
0.1000,0.05992,0.00000,0.28088,0,0.94027
0.1200,0.07190,0.00000,0.27721,0,0.92838
0.1400,0.08388,0.00000,0.27358,0,0.91650
0.1600,0.09586,0.00000,0.27000,0,0.90463
0.1800,0.10784,0.00000,0.26648,0,0.89279
0.2000,0.11982,0.00000,0.26301,0,0.88096
0.2200,0.13179,0.00000,0.25960,0,0.86915
0.2400,0.14376,0.00000,0.25623,0,0.85735
0.2600,0.15573,0.00000,0.25292,0,0.84558
0.2800,0.16770,0.00000,0.24967,0,0.83382
0.3000,0.17966,0.00000,0.24647,0,0.82208
0.3200,0.19162,0.00000,0.24334,0,0.81036
0.3400,0.20358,0.00000,0.24025,0,0.79866
0.3600,0.21553,0.00000,0.23723,0,0.78698
0.3800,0.22747,0.00000,0.23427,0,0.77532
0.4000,0.23941,0.00000,0.23136,0,0.76368
0.4200,0.25135,0.00000,0.22852,0,0.75205
0.4400,0.26328,0.00000,0.22574,0,0.74045
0.4600,0.27521,0.00000,0.22302,0,0.72887
0.4800,0.28712,0.00000,0.22037,0,0.71731
0.5000,0.29903,0.00000,0.21778,0,0.70577
0.5200,0.31094,0.00000,0.21525,0,0.69426
0.5400,0.32283,0.00000,0.21280,0,0.68276
0.5600,0.33472,0.00000,0.21041,0,0.67129
0.5800,0.34660,0.00000,0.20809,0,0.65984
0.6000,0.35846,0.00000,0.20584,0,0.64841
0.6200,0.37032,0.00000,0.20366,0,0.63701
0.6400,0.38217,0.00000,0.20155,0,0.62563
0.6600,0.39400,0.00000,0.19951,0,0.61427
0.6800,0.40583,0.00000,0.19755,0,0.60294
0.7000,0.41764,0.00000,0.19567,0,0.59163
0.7200,0.42943,0.00000,0.19386,0,0.58035
0.7400,0.44122,0.00000,0.19214,0,0.56910
0.7600,0.45298,0.00000,0.19049,0,0.55787
0.7800,0.46473,0.00000,0.18892,0,0.54667
0.8000,0.47647,0.00000,0.18744,0,0.53550
0.8200,0.48819,0.00000,0.18603,0,0.52435
0.8400,0.49988,0.00000,0.18472,0,0.51323
0.8600,0.51156,0.00000,0.18349,0,0.50214
0.8800,0.52322,0.00000,0.18235,0,0.49108
0.9000,0.53486,0.00000,0.18130,0,0.48005
0.9200,0.54647,0.00000,0.18035,0,0.46905
0.9400,0.55806,0.00000,0.17948,0,0.45808
